素直,すなお,"- obedient; meek; docile; unaffected
- honest; frank; upfront (about one's feelings)"
楽しい,たのしい,- enjoyable; fun; pleasant; happy; delightful
目立つ,めだつ,- to be conspicuous; to stand out
かわ,かわ,"- skin; hide; pelt; fur
- rind; peel; husk; bark
- shell; sheath; wrapping
- mask (hiding one's true nature); seeming"
１位,いちい,"- first place; first rank; unit's position
- Japanese yew (Taxus cuspidata)"
なくす,なくす,"- to lose (something); to mislay
- to get rid of; to eliminate; to remove"
雨音,あまおと,- sound of rainfall
じゃあね,じゃあね,- see you; bye; ciao
油ギッシュ,あぶらギッシュ,"- oily (face, hair, food, etc.)
- persistent (person, personality, etc.); insistent"
ばかり,ばかり,"- only; merely; nothing but; no more than
- approximately; about
- just (finished, etc.)
- as if to; (as though) about to
- indicates emphasis
- always; constantly"
見付かる,みつかる,- to be found; to be discovered
って,って,"- you said; he said; she said; they said
- if ... then
- do you seriously think that
- I already told you; you should know by now that; of course
- the said ...; said ...
- says that ...
- I hear that ...
- as for the term ...
- as for ..."
さびる,さびる,- to rust; to become rusty
お腹いっぱい,おなかいっぱい,"- full up
- to have had enough of something (both good and bad nuance)"
だけど,だけど,- however
電話,でんわ,"- telephone call; phone call
- telephone (device); phone"
もっと,もっと,- (some) more; even more; longer; further
見に行く,みにいく,"- to go to see (something, someone); to visit"
明ける,あける,"- to empty; to remove; to make space; to make room
- to move out; to clear out
- to be away from (e.g. one's house); to leave (temporarily)
- to dawn; to grow light
- to end (of a period, season)
- to begin (of the New Year)
- to leave (one's schedule) open; to make time (for)
- to make (a hole); to open up (a hole)"
冷める,さめる,"- to cool down; to get cold
- to cool off (excitement, temper, etc.); to subside; to dampen; to fade; to wane
- to be cold (eyes, expression, etc.); to be composed"
後ろ姿,うしろすがた,- retreating figure; appearance from behind
そそう,そそう,"- carelessness; careless mistake; blunder
- wetting oneself; soiling oneself
- crude; coarse"
おはよう,おはよう,- good morning
リアル,リアル,"- real; realistic; true to life
- serious; non-joking; earnest
- realtime blog
- real world (cf. online games or social networking services)"
本気,ほんき,- seriousness; earnestness; truth; sanctity
ほい,ほい,"- heave-ho
- oops
- yes; yeah"
ディナー,ディナー,- dinner
足,あし,"- foot; paw; arm (of an octopus, squid, etc.)
- leg
- gait
- pace
- bottom structural component (i.e. radical) of a kanji
- means of transportation
- money; coin"
効率,こうりつ,- efficiency
とは,とは,"- indicates word or phrase being defined
- used for quoting (thoughts, speech, etc.)
- with
- (not) as much as; (not) so much as
- the fact that; to think that; such a thing as"
美味い,うまい,"- skillful; skilful; clever; expert; wise; successful
- delicious; appetizing; appetising; tasty
- fortunate; splendid; promising"
一時間,いちじかん,- one hour
床,ゆか,"- floor
- stage (for the narrator and the shamisen player)
- dining platform built across a river"
に似て,ににて,- similar to; like
異議あり,いぎあり,- objection!; question!
時代,じだい,"- period; epoch; era; age
- the times; those days
- oldness; ancientness; antiquity
- antique; period piece"
ライバル,ライバル,- rival; competition
メロンソーダ,メロンソーダ,- cantaloupe-flavoured soda
照れ隠し,てれかくし,- hiding one's embarrassment
お待たせしました,おまたせしました,- thank you for waiting; sorry to have kept you waiting
フェイス,フェイス,- face
多い,おおい,"- many; numerous; a lot
- large amount of; large quantity of; a lot; much
- frequent; common"
ので,ので,- that being the case; because of ...; the reason is ...; given that ...
二倍,にばい,- double; twice (as much); twofold
